Codi,Provincia,Cla,Subclase,Especie,Rumbo,Dist,Fac,CD,DiamIf3,DiamIf2,HeiIf3
172382,17,A,1,046,221,6,31.83,20,17.65,16.3,7
172383,17,A,1,046,34,4.09,127.32,10,11.85,11.5,5.5
172384,17,A,1,046,195,8.19,31.83,30,32.2,31.35,7.5
172385,17,A,1,046,132,14.89,14.14,25,27.4,26.55,9.5
172388,17,A,1,046,151,7.8,31.83,20,18.6,15.25,4
172390,17,A,1,046,123,7.9,31.83,15,16.45,15.5,9
172391,17,A,1,046,394,3.9,127.32,20,18.8,16,6.5
172393,17,A,1,046,289,6.3,31.83,20,17.6,17.05,8.5
172394,17,A,1,046,155,3.29,127.32,35,34.5,33.55,6.5
172395,17,A,1,023,53,5.19,31.83,20,22.05,19.45,10
172396,17,A,1,045,81,9.69,31.83,20,18.35,16.5,12.5
172397,17,A,1,046,93,8.5,31.83,20,18.7,18.05,6.5
172399,17,A,1,026,59,8.89,31.83,35,33.5,27.65,17.5
172400,17,A,1,045,163,11.19,14.14,30,28.75,25,11.5
172401,17,A,1,045,255,4.69,127.32,10,11.75,7.75,7.5
172402,17,A,1,068,155,1.1,127.32,15,12.5,11,5.5
172406,17,A,1,046,205,4.19,127.32,15,13.45,9.75,4.5
172407,17,A,1,046,187,7.4,31.83,15,16.9,14.05,5.5
172408,17,A,1,046,54,7.19,31.83,15,14.1,13.65,4.5
172409,17,A,1,024,78,12.5,14.14,35,32.75,26.1,18
172412,17,A,1,046,109,2.4,127.32,15,13.35,12.95,5.5
172413,17,A,1,025,105,14.39,14.14,30,27.95,26.35,13
172414,17,A,1,023,201,11.69,14.14,30,30.1,23.05,10
172415,17,A,1,068,165,2.4,127.32,10,8.9,8.8,7.5
172417,17,A,1,046,190,2.7,127.32,20,17.5,17.15,5.5
172418,17,A,1,068,136,2.9,127.32,10,9.4,8.05,6
172419,17,A,1,046,92,7.9,31.83,15,13.7,12.95,5.5
172420,17,A,1,046,113,7.9,31.83,20,19.75,18.2,6
172421,17,A,1,046,77,7.4,31.83,20,21.5,20,6.5
172422,17,A,1,046,165,7.3,31.83,15,14.2,12.6,4
172423,17,A,1,046,94,7.9,31.83,20,19.35,18.45,5.5
172424,17,A,1,046,171,2.7,127.32,15,16.3,14,5.5
172425,17,A,1,046,85,13.5,14.14,35,33.15,31.65,8.5
