Codi,Provincia,Cla,Subclase,Especie,Rumbo,Dist,Fac,CD,DiamIf3,DiamIf2,HeiIf3
431306,43,A,1,045,184,4.69,127.32,15,14.1,12.2,8
431307,43,A,1,025,398,5.69,31.83,25,27.2,24.75,10.5
431308,43,A,1,025,144,3.4,127.32,10,8.65,8.05,4.5
431311,43,A,1,076,381,10.1,14.14,25,24.15,16.1,11.19
431314,43,A,1,025,352,23.2,5.09,55,54.75,52.2,11.5
431315,43,A,1,024,226,3.5,127.32,15,13.4,12.1,11
431317,43,A,1,025,242,2.2,127.32,15,12.5,10.25,8
431320,43,A,1,045,178,5,31.83,15,15.2,12.4,4.5
431328,43,A,1,021,372,13.8,14.14,30,32.15,29.85,14.5
431330,43,A,1,024,295,11.1,14.14,30,27.85,22.6,10
431333,43,A,1,021,252,6.9,31.83,30,30.9,27.5,11
431340,43,A,1,045,270,1.5,127.32,10,11.6,10.95,5.69
431342,43,A,1,025,225,2.29,127.32,10,12.15,10.85,9
431343,43,A,1,045,277,4.8,127.32,10,12.25,10.7,6.5
431344,43,A,1,025,222,8.1,31.83,25,25.45,23.55,10.5
431346,43,A,1,024,235,4.5,127.32,15,16.3,14,11
431350,43,A,1,024,348,5.09,31.83,20,17.7,13.2,7
431351,43,A,1,024,350,1.6,127.32,20,20.25,17.95,7.5
431360,43,A,1,024,359,6.69,31.83,20,18.45,15.3,10
431377,43,A,1,045,261,7.19,31.83,20,18.15,16.55,11.5
431382,43,A,1,024,308,2.4,127.32,25,27.15,31.7,9
431389,43,A,1,024,168,3.29,127.32,15,15.2,14.8,10
431395,43,A,1,024,339,9.3,31.83,40,42.3,35.45,12
431409,43,A,1,021,131,6.09,31.83,15,16.95,14.3,10
431413,43,A,1,025,266,15.89,5.09,25,27,25.45,12.5
431414,43,A,1,021,354,4,127.32,25,24.15,21.4,8.5
431416,43,A,1,021,294,14.1,14.14,25,27,25.2,9
431418,43,A,1,025,161,5.3,31.83,20,21.45,15,10.5
431422,43,A,1,045,149,4.9,127.32,10,12.2,10.95,5
431423,43,A,1,025,183,10.39,14.14,20,17.85,17,7.5
431424,43,A,1,025,135,6.5,31.83,30,30.25,29.5,15.5
431427,43,A,1,025,278,4.09,127.32,25,22.95,15.05,11
431428,43,A,1,025,301,5.3,31.83,35,34.65,25.65,15
431429,43,A,1,025,95,13.8,14.14,25,25.8,23.1,9.69
431431,43,A,1,025,136,11.39,14.14,30,30.35,29.45,10
431434,43,A,1,025,174,3.09,127.32,15,14.2,13.75,8.5
431435,43,A,1,025,264,11.89,14.14,45,45.25,43.3,16.5
431437,43,A,1,021,300,7.4,31.83,15,16.35,15.05,10
431438,43,A,1,021,144,10.8,14.14,20,22.25,20.55,10.5
431439,43,A,1,021,271,4,127.32,25,26.8,26.1,17
431440,43,A,1,025,345,6.4,31.83,45,44.1,42.15,21
431442,43,A,1,025,390,11.5,14.14,35,33.6,33.25,11.5
431444,43,A,1,025,121,5.09,31.83,15,16.45,15.9,14.5
431445,43,A,1,045,290,2.7,127.32,10,10.9,9.45,4.5
431446,43,A,1,025,135,13.5,14.14,30,30.65,28.05,12
431447,43,A,1,025,155,13.5,14.14,30,30.8,26.45,16
431448,43,A,1,021,198,6.09,31.83,35,35.3,32.95,14.5
431461,43,A,1,021,299,3.9,127.32,20,20,18.55,7
431463,43,A,1,021,332,1.2,127.32,10,8.8,8.8,5
431464,43,A,1,045,222,4.8,127.32,20,19.15,17.9,8
431466,43,A,1,025,331,7.3,31.83,60,59.85,56.9,16.5
431467,43,A,1,025,232,13,14.14,30,28.45,25,6.5
431468,43,A,1,025,308,5.5,31.83,55,55.75,53.7,18.5
431469,43,A,1,025,204,7.5,31.83,35,37.1,33.4,12.5
431471,43,A,1,021,282,14.5,14.14,35,34.85,32.35,15
431473,43,A,1,021,306,13.69,14.14,40,40.6,35.45,13.5
431474,43,A,1,071,262,13.6,14.14,40,42.3,39.7,18
431477,43,A,1,021,118,2,127.32,10,12.35,11.2,9
431479,43,A,1,021,365,13.19,14.14,35,33.45,32.7,12
431480,43,A,1,021,187,8.69,31.83,15,15.45,14.85,9
431481,43,A,1,021,196,8.6,31.83,15,13.55,12.7,7
431482,43,A,1,021,187,7.59,31.83,25,23.9,22.45,7
431483,43,A,1,021,98,7.5,31.83,15,14.65,13.95,7
431484,43,A,1,045,190,8.89,31.83,15,14.6,13.8,5
431485,43,A,1,025,353,1.39,127.32,50,47.65,45.35,14
431486,43,A,1,021,233,7.59,31.83,20,18,16.8,6
431489,43,A,1,021,176,3.79,127.32,10,11.45,11.2,6.5
431490,43,A,1,021,212,9.8,31.83,20,21.25,19.9,12
431491,43,A,1,021,307,11.89,14.14,40,41.75,38.1,12.5
431492,43,A,1,025,301,7,31.83,20,18.8,17.1,12.5
431493,43,A,1,025,213,3,127.32,15,17.05,16.2,10.5
431496,43,A,1,025,390,3,127.32,55,54.5,53.15,15.69
431504,43,A,1,025,250,27.79,5.09,55,57.25,54.7,16
431505,43,A,1,025,200,11.5,14.14,30,28.9,26.05,10
431510,43,A,1,045,297,4.8,127.32,10,8.7,7.8,4
431511,43,A,1,024,395,9.39,31.83,15,14.9,14,7.5
430002,43,A,1,036,282,8.5,31.83,20,18.15,15.75,13
430003,43,A,1,024,229,5.19,31.83,30,31.8,28.55,8
430007,43,A,1,024,349,13.3,14.14,35,35,34,8
430009,43,A,1,024,193,9.89,31.83,30,28.7,27.85,11
430010,43,A,1,025,360,12,14.14,35,35.15,33.1,11.5
430023,43,A,1,044,292,7.69,31.83,15,17.1,16.45,6.5
430029,43,A,1,024,327,5.5,31.83,15,14.5,13.5,5.5
430043,43,A,1,024,263,13.39,14.14,30,30.7,23,16.7
430044,43,A,1,024,196,3.29,127.32,25,23.05,20.7,10.3
430049,43,A,1,024,251,4.09,127.32,15,12.85,11.15,8
430053,43,A,1,024,352,8.8,31.83,35,35.2,29.9,10.6
430064,43,A,1,024,213,8.89,31.83,20,20.8,18.15,6.9
430067,43,A,1,024,358,9.19,31.83,20,20.25,14.95,11.5
430068,43,A,1,024,297,4.8,127.32,15,14.5,9.45,11.1
430072,43,A,1,026,133,6.59,31.83,25,25.2,18.55,11.19
430076,43,A,1,045,200,7.69,31.83,20,20.75,20.55,8.8
